id,estado,número de vítimas
1,Acre,789
2,Alagoas,123
3,Amapá,456
4,Amazonas,789
5,Bahia,900
6,Ceará,800
7,Distrito Federal,567
8,Espírito Santo,234
9,Goiás,567
10,Maranhão,890
11,Mato Grosso,123
12,Mato Grosso do Sul,456
13,Minas Gerais,789
14,Pará,900
15,Paraíba,800
16,Paraná,567
17,Pernambuco,234
18,Piauí,567
19,Rio de Janeiro,890
20,Rio Grande do Norte,123
21,Rio Grande do Sul,456
22,Rondônia,789
23,Roraima,900
24,Santa Catarina,800
25,São Paulo,567
26,Sergipe,234
27,Tocantins,567
28,Acre,789
29,Alagoas,123
30,Amapá,456
31,Amazonas,789
32,Bahia,900
33,Ceará,800
34,Distrito Federal,567
35,Espírito Santo,234
36,Goiás,567
37,Maranhão,890
38,Mato Grosso,123
39,Mato Grosso do Sul,456
40,Minas Gerais,789
41,Pará,900
42,Paraíba,800
43,Paraná,567
44,Pernambuco,234
45,Piauí,567
46,Rio de Janeiro,890
47,Rio Grande do Norte,123
48,Rio Grande do Sul,456
49,Rondônia,789
50,Roraima,900
