id,estado,número de vítimas
1,Alabama,123
2,Alaska,456
3,Arizona,789
4,Arkansas,900
5,California,800
6,Colorado,567
7,Connecticut,234
8,Delaware,567
9,Florida,890
10,Georgia,123
11,Hawaii,456
12,Idaho,789
13,Illinois,900
14,Indiana,800
15,Iowa,567
16,Kansas,234
17,Kentucky,567
18,Louisiana,789
19,Maine,900
20,Maryland,800
21,Massachusetts,567
22,Michigan,234
23,Minnesota,567
24,Mississippi,789
25,Missouri,900
26,Montana,800
27,Nebraska,567
28,Nevada,234
29,New Hampshire,567
30,New Jersey,789
31,New Mexico,900
32,New York,800
33,North Carolina,567
34,North Dakota,234
35,Ohio,567
36,Oklahoma,789
37,Oregon,900
38,Pennsylvania,800
39,Rhode Island,567
40,South Carolina,234
41,South Dakota,567
42,Tennessee,789
43,Texas,900
44,Utah,800
45,Vermont,567
46,Virginia,234
47,Washington,567
48,West Virginia,789
49,Wisconsin,900
50,Wyoming,800
