Estado,População
Acre,818476
Alagoas,3337357
Amapá,772907
Amazonas,4144597
Bahia,15344447
Ceará,9075649
Distrito Federal,3077110
Espírito Santo,4018650
Goiás,7018354
Maranhão,7075181
Mato Grosso,3484466
Mato Grosso do Sul,2778986
Minas Gerais,21168791
Pará,8602865
Paraíba,4018127
Paraná,11433957
Pernambuco,9557071
Piauí,3264531
Rio de Janeiro,16718956
Rio Grande do Norte,3422070
Rio Grande do Sul,11377239
Rondônia,1777225
Roraima,605761
Santa Catarina,7164788
São Paulo,45919049
Sergipe,2298696
Tocantins,1572866
